transaction_id,date,customer_id,region,item_id,item_name,quantity,unit_price,discount_applied,total_revenue,cost_of_goods,profit
TXN000116,2025-01-12,C0164,Asia-Pacific,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000117,2025-01-12,C0056,North America,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000118,2025-01-12,C0193,Europe,110,Portable Bluetooth Speaker,2,80,0.0,160.0,90,70.0
TXN000119,2025-01-12,C0161,Europe,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000120,2025-01-12,C0191,North America,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000121,2025-01-12,C0190,Europe,104,Wireless Optical Mouse,2,30,0.0,60.0,24,36.0
TXN000122,2025-01-12,C0102,Asia-Pacific,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000123,2025-01-12,C0029,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000124,2025-01-12,C0027,North America,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000125,2025-01-12,C0110,Asia-Pacific,112,Standing Desk Frame,2,350,0.1,630.0,400,230.0
TXN000126,2025-01-13,C0191,North America,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000127,2025-01-13,C0126,North America,108,Gaming Chair Pro,3,250,0.0,750.0,450,300.0
TXN000128,2025-01-13,C0002,Domestic,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000129,2025-01-13,C0047,Asia-Pacific,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000130,2025-01-14,C0150,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000131,2025-01-14,C0077,Asia-Pacific,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000132,2025-01-14,C0100,Asia-Pacific,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000133,2025-01-14,C0194,Asia-Pacific,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000134,2025-01-14,C0141,Domestic,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000135,2025-01-14,C0188,Europe,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000136,2025-01-14,C0134,Domestic,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000137,2025-01-14,C0162,Europe,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000138,2025-01-14,C0116,Europe,102,Pro Noise-Cancel Headphones,2,180,0.0,360.0,190,170.0
TXN000139,2025-01-14,C0093,Europe,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000140,2025-01-15,C0033,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000141,2025-01-15,C0098,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000142,2025-01-15,C0151,Domestic,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000143,2025-01-15,C0188,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000144,2025-01-15,C0072,Domestic,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000145,2025-01-15,C0067,Asia-Pacific,101,Smart Watch X1,2,250,0.0,500.0,280,220.0
TXN000146,2025-01-15,C0157,Europe,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000147,2025-01-15,C0086,North America,106,"4K Ultra Monitor 27""",3,400,0.1,1080.0,840,240.0
TXN000148,2025-01-15,C0157,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000149,2025-01-15,C0065,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000150,2025-01-16,C0185,Europe,109,LED Desk Lamp,2,50,0.0,100.0,50,50.0
TXN000151,2025-01-16,C0168,Asia-Pacific,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000152,2025-01-16,C0195,Europe,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000153,2025-01-16,C0169,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000154,2025-01-16,C0170,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000155,2025-01-16,C0142,North America,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000156,2025-01-16,C0173,North America,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000157,2025-01-16,C0047,Asia-Pacific,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000158,2025-01-17,C0090,Europe,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000159,2025-01-17,C0174,Europe,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000160,2025-01-17,C0108,Europe,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000161,2025-01-17,C0056,North America,101,Smart Watch X1,2,250,0.0,500.0,280,220.0
TXN000162,2025-01-17,C0001,North America,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000163,2025-01-17,C0023,North America,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000164,2025-01-17,C0032,Asia-Pacific,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000165,2025-01-17,C0198,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000166,2025-01-17,C0082,Europe,111,Webcam 1080p,3,75,0.0,225.0,120,105.0
TXN000167,2025-01-17,C0101,Asia-Pacific,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000168,2025-01-18,C0003,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000169,2025-01-18,C0177,Asia-Pacific,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000170,2025-01-18,C0176,North America,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000171,2025-01-18,C0070,North America,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000172,2025-01-18,C0057,Asia-Pacific,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000173,2025-01-18,C0140,Europe,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000174,2025-01-18,C0087,North America,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000175,2025-01-18,C0057,Asia-Pacific,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000176,2025-01-18,C0075,North America,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000177,2025-01-18,C0068,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000178,2025-01-18,C0003,Europe,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000179,2025-01-18,C0166,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000180,2025-01-18,C0027,North America,101,Smart Watch X1,2,250,0.0,500.0,280,220.0
TXN000181,2025-01-19,C0173,North America,102,Pro Noise-Cancel Headphones,3,180,0.0,540.0,285,255.0
TXN000182,2025-01-19,C0010,Asia-Pacific,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000183,2025-01-19,C0009,North America,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000184,2025-01-19,C0157,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000185,2025-01-19,C0082,Europe,110,Portable Bluetooth Speaker,2,80,0.0,160.0,90,70.0
TXN000186,2025-01-19,C0128,North America,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000187,2025-01-19,C0009,North America,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000188,2025-01-19,C0055,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000189,2025-01-19,C0164,Asia-Pacific,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000190,2025-01-19,C0036,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000191,2025-01-19,C0054,Asia-Pacific,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000192,2025-01-19,C0043,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000193,2025-01-19,C0126,North America,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000194,2025-01-19,C0055,Europe,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000195,2025-01-19,C0177,Asia-Pacific,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000196,2025-01-20,C0093,Europe,103,Ergonomic Laptop Stand,2,45,0.0,90.0,40,50.0
TXN000197,2025-01-20,C0018,Europe,103,Ergonomic Laptop Stand,3,45,0.0,135.0,60,75.0
TXN000198,2025-01-20,C0048,Asia-Pacific,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000199,2025-01-20,C0147,Europe,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000200,2025-01-20,C0073,Asia-Pacific,108,Gaming Chair Pro,3,250,0.0,750.0,450,300.0
TXN000201,2025-01-20,C0122,Europe,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000202,2025-01-20,C0080,Europe,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000203,2025-01-20,C0082,Europe,104,Wireless Optical Mouse,3,30,0.0,90.0,36,54.0
TXN000204,2025-01-20,C0198,Domestic,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000205,2025-01-20,C0071,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000206,2025-01-20,C0119,Europe,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000207,2025-01-20,C0031,Asia-Pacific,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000208,2025-01-21,C0171,Asia-Pacific,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000209,2025-01-21,C0045,Domestic,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000210,2025-01-21,C0124,Domestic,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000211,2025-01-21,C0032,Asia-Pacific,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000212,2025-01-21,C0019,Asia-Pacific,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000213,2025-01-21,C0049,Domestic,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000214,2025-01-21,C0121,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000215,2025-01-21,C0017,North America,112,Standing Desk Frame,2,350,0.1,630.0,400,230.0
TXN000216,2025-01-21,C0146,North America,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000217,2025-01-22,C0072,Domestic,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000218,2025-01-22,C0054,Asia-Pacific,104,Wireless Optical Mouse,2,30,0.0,60.0,24,36.0
TXN000219,2025-01-22,C0057,Asia-Pacific,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000220,2025-01-22,C0120,North America,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000221,2025-01-22,C0046,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000222,2025-01-22,C0082,Europe,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000223,2025-01-22,C0066,Asia-Pacific,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000224,2025-01-23,C0061,Europe,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000225,2025-01-23,C0002,Domestic,110,Portable Bluetooth Speaker,1,80,0.0,80.0,45,35.0
TXN000226,2025-01-23,C0005,Asia-Pacific,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000227,2025-01-23,C0071,Domestic,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000228,2025-01-23,C0086,North America,102,Pro Noise-Cancel Headphones,2,180,0.0,360.0,190,170.0
TXN000229,2025-01-23,C0081,North America,109,LED Desk Lamp,3,50,0.0,150.0,75,75.0
TXN000230,2025-01-23,C0081,North America,110,Portable Bluetooth Speaker,2,80,0.0,160.0,90,70.0
TXN000231,2025-01-24,C0156,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000232,2025-01-24,C0022,North America,108,Gaming Chair Pro,1,250,0.0,250.0,150,100.0
TXN000233,2025-01-24,C0194,Asia-Pacific,112,Standing Desk Frame,1,350,0.0,350.0,200,150.0
TXN000234,2025-01-24,C0154,Domestic,103,Ergonomic Laptop Stand,2,45,0.0,90.0,40,50.0
TXN000235,2025-01-24,C0196,Domestic,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000236,2025-01-24,C0048,Asia-Pacific,104,Wireless Optical Mouse,1,30,0.0,30.0,12,18.0
TXN000237,2025-01-25,C0155,Domestic,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000238,2025-01-25,C0069,Asia-Pacific,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000239,2025-01-25,C0018,Europe,106,"4K Ultra Monitor 27""",1,400,0.0,400.0,280,120.0
TXN000240,2025-01-25,C0050,Asia-Pacific,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000241,2025-01-25,C0083,North America,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000242,2025-01-25,C0027,North America,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000243,2025-01-25,C0067,Asia-Pacific,106,"4K Ultra Monitor 27""",3,400,0.1,1080.0,840,240.0
TXN000244,2025-01-25,C0043,Domestic,107,RGB Mech Keyboard,1,120,0.0,120.0,70,50.0
TXN000245,2025-01-25,C0113,Europe,105,USB-C Multi-Hub,2,40,0.0,80.0,36,44.0
TXN000246,2025-01-25,C0107,Domestic,106,"4K Ultra Monitor 27""",2,400,0.1,720.0,560,160.0
TXN000247,2025-01-25,C0198,Domestic,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000248,2025-01-25,C0119,Europe,109,LED Desk Lamp,1,50,0.0,50.0,25,25.0
TXN000249,2025-01-25,C0153,Domestic,102,Pro Noise-Cancel Headphones,1,180,0.0,180.0,95,85.0
TXN000250,2025-01-25,C0147,Europe,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000251,2025-01-25,C0023,North America,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
TXN000252,2025-01-26,C0152,North America,102,Pro Noise-Cancel Headphones,2,180,0.0,360.0,190,170.0
TXN000253,2025-01-26,C0026,North America,111,Webcam 1080p,1,75,0.0,75.0,40,35.0
TXN000254,2025-01-26,C0117,Domestic,103,Ergonomic Laptop Stand,1,45,0.0,45.0,20,25.0
TXN000255,2025-01-26,C0188,Europe,101,Smart Watch X1,3,250,0.0,750.0,420,330.0
TXN000256,2025-01-26,C0198,Domestic,101,Smart Watch X1,1,250,0.0,250.0,140,110.0
TXN000257,2025-01-27,C0165,Asia-Pacific,108,Gaming Chair Pro,2,250,0.0,500.0,300,200.0
TXN000258,2025-01-27,C0109,Europe,105,USB-C Multi-Hub,1,40,0.0,40.0,18,22.0
