item_id,item_name,category,current_stock,reorder_level,cost_price,selling_price,supplier_id,last_restocked
144,Mechanical Keyboard Model 8,Peripherals,90,22,60,129,S03,2025-11-21
145,Wireless Earbuds Model 9,Audio,77,36,28,53,S02,2025-11-19
146,Optical Mouse Model 6,Peripherals,86,25,16,44,S03,2025-12-04
147,Standing Desk Model 9,Furniture,51,37,199,372,S01,2025-11-23
148,Mechanical Keyboard Model 2,Peripherals,63,37,64,117,S02,2025-11-28
149,Gaming Chair Model 4,Furniture,137,40,148,262,S02,2025-12-01
150,Smart Watch Model 2,Electronics,131,33,138,232,S01,2025-12-06
151,Laptop Stand Model 5,Office,70,34,27,70,S02,2025-12-20
152,Smart Watch Model 2,Electronics,59,24,147,232,S02,2025-12-20
153,Laptop Stand Model 7,Office,66,21,19,48,S01,2025-12-07
154,Optical Mouse Model 4,Peripherals,135,23,13,59,S03,2025-12-11
155,Standing Desk Model 3,Furniture,80,25,195,356,S01,2025-11-26
156,Gaming Chair Model 7,Furniture,152,27,148,240,S03,2025-11-21
157,Desk Lamp Model 1,Office,159,35,22,42,S02,2025-12-07
158,Mechanical Keyboard Model 4,Peripherals,78,20,66,125,S02,2025-12-02
159,Wireless Earbuds Model 5,Audio,94,40,36,70,S03,2025-12-19
160,Gaming Chair Model 1,Furniture,64,28,145,267,S02,2025-11-17
161,Wireless Earbuds Model 7,Audio,94,30,33,83,S03,2025-11-22
162,Desk Lamp Model 4,Office,82,21,28,30,S03,2025-12-19
163,Optical Mouse Model 6,Peripherals,105,22,12,49,S02,2025-11-22
164,Mechanical Keyboard Model 9,Peripherals,89,33,70,125,S03,2025-12-03
165,Webcam Model 3,Electronics,74,33,42,98,S03,2025-11-26
166,Standing Desk Model 5,Furniture,101,37,190,349,S02,2025-11-28
167,Desk Lamp Model 6,Office,109,34,29,73,S01,2025-12-17
168,Bluetooth Speaker Model 3,Audio,134,22,44,92,S03,2025-12-06
169,Wireless Earbuds Model 4,Audio,136,29,27,57,S01,2025-11-16
170,Smart Watch Model 4,Electronics,110,39,132,259,S02,2025-11-27
171,Desk Lamp Model 8,Office,101,27,19,71,S03,2025-11-15
172,Wireless Earbuds Model 7,Audio,78,25,36,74,S01,2025-12-20
173,Optical Mouse Model 2,Peripherals,108,24,16,52,S03,2025-12-20
174,Standing Desk Model 6,Furniture,146,34,209,376,S03,2025-12-12
175,Webcam Model 8,Electronics,70,35,44,71,S01,2025-12-02
176,Webcam Model 8,Electronics,130,27,38,83,S01,2025-12-03
177,Optical Mouse Model 5,Peripherals,92,30,19,15,S01,2025-11-24
178,Optical Mouse Model 7,Peripherals,138,24,8,14,S02,2025-12-11
179,Gaming Chair Model 9,Furniture,109,33,141,243,S02,2025-12-09
180,Standing Desk Model 1,Furniture,159,38,202,360,S01,2025-12-07
181,Mechanical Keyboard Model 7,Peripherals,159,33,77,147,S03,2025-12-19
182,Standing Desk Model 4,Furniture,112,27,198,357,S02,2025-11-16
183,Desk Lamp Model 6,Office,135,32,20,59,S01,2025-12-19
184,Smart Watch Model 7,Electronics,125,38,130,235,S03,2025-12-12
185,Laptop Stand Model 8,Office,73,21,18,49,S02,2025-11-28
186,Bluetooth Speaker Model 6,Audio,93,32,43,108,S02,2025-12-01
187,Wireless Earbuds Model 8,Audio,52,37,21,67,S01,2025-11-19
188,Smart Watch Model 1,Electronics,81,26,130,269,S01,2025-11-30
189,Laptop Stand Model 8,Office,135,23,28,38,S02,2025-12-01
190,Gaming Chair Model 3,Furniture,127,39,143,279,S01,2025-12-04
191,Wireless Earbuds Model 1,Audio,89,38,32,70,S03,2025-11-27
192,Wireless Earbuds Model 4,Audio,63,29,39,52,S03,2025-11-17
193,Gaming Chair Model 9,Furniture,104,31,142,262,S03,2025-12-06
194,Smart Watch Model 7,Electronics,155,35,133,257,S02,2025-12-14
195,Laptop Stand Model 7,Office,72,36,30,42,S03,2025-12-19
196,Bluetooth Speaker Model 8,Audio,105,38,43,80,S01,2025-11-20
197,Mechanical Keyboard Model 8,Peripherals,81,34,78,139,S03,2025-12-09
198,Gaming Chair Model 1,Furniture,113,30,145,261,S01,2025-12-07
199,Mechanical Keyboard Model 6,Peripherals,85,39,68,135,S01,2025-12-18
200,Optical Mouse Model 2,Peripherals,80,33,17,45,S01,2025-12-15
201,Bluetooth Speaker Model 8,Audio,151,20,37,78,S01,2025-12-10
202,Optical Mouse Model 5,Peripherals,134,38,13,40,S03,2025-12-18
203,Gaming Chair Model 7,Furniture,145,37,150,252,S03,2025-12-14
204,Mechanical Keyboard Model 5,Peripherals,82,27,63,146,S01,2025-12-05
205,Wireless Earbuds Model 9,Audio,147,25,26,58,S03,2025-12-15
206,Mechanical Keyboard Model 9,Peripherals,126,29,63,112,S02,2025-11-29
207,Gaming Chair Model 3,Furniture,88,20,157,238,S02,2025-11-17
208,Smart Watch Model 9,Electronics,87,24,150,278,S02,2025-11-21
209,Smart Watch Model 5,Electronics,110,35,144,251,S01,2025-11-18
210,Mechanical Keyboard Model 8,Peripherals,64,22,72,131,S01,2025-11-18
211,Laptop Stand Model 3,Office,153,38,19,30,S01,2025-11-22
212,Webcam Model 7,Electronics,127,39,49,69,S03,2025-12-09
213,Bluetooth Speaker Model 8,Audio,88,38,48,79,S03,2025-11-18
214,Standing Desk Model 2,Furniture,147,26,210,343,S02,2025-11-20
215,Laptop Stand Model 4,Office,72,37,12,35,S01,2025-12-11
216,Bluetooth Speaker Model 8,Audio,87,21,42,78,S03,2025-12-03
217,Bluetooth Speaker Model 2,Audio,137,27,43,110,S03,2025-11-27
218,Desk Lamp Model 2,Office,119,27,35,39,S02,2025-11-24
219,Wireless Earbuds Model 1,Audio,71,29,39,92,S03,2025-12-03
220,Bluetooth Speaker Model 2,Audio,109,29,47,77,S03,2025-12-19
221,Bluetooth Speaker Model 8,Audio,60,39,36,87,S03,2025-12-05
222,Standing Desk Model 5,Furniture,53,22,197,373,S03,2025-11-16
223,Mechanical Keyboard Model 1,Peripherals,147,25,75,133,S03,2025-12-13
224,Mechanical Keyboard Model 3,Peripherals,124,33,80,131,S01,2025-12-15
225,Gaming Chair Model 7,Furniture,92,30,143,240,S02,2025-12-11
226,Bluetooth Speaker Model 5,Audio,134,32,52,62,S02,2025-11-20
227,Gaming Chair Model 5,Furniture,91,23,152,262,S01,2025-12-19
228,Bluetooth Speaker Model 7,Audio,56,26,51,83,S03,2025-12-16
229,Bluetooth Speaker Model 1,Audio,76,28,52,68,S02,2025-12-13
230,Bluetooth Speaker Model 2,Audio,53,40,54,75,S03,2025-11-25
231,Mechanical Keyboard Model 9,Peripherals,51,37,73,105,S01,2025-11-22
232,Bluetooth Speaker Model 2,Audio,132,24,50,105,S02,2025-12-17
233,Mechanical Keyboard Model 7,Peripherals,156,35,75,115,S02,2025-12-20
234,Laptop Stand Model 7,Office,74,39,26,72,S01,2025-11-19
235,Mechanical Keyboard Model 7,Peripherals,93,36,68,100,S02,2025-12-04
236,Standing Desk Model 8,Furniture,160,24,204,364,S02,2025-12-07
237,Gaming Chair Model 9,Furniture,147,37,152,259,S02,2025-11-27
238,Optical Mouse Model 7,Peripherals,79,33,3,30,S03,2025-12-15
239,Desk Lamp Model 7,Office,134,40,19,61,S01,2025-11-23
240,Webcam Model 6,Electronics,62,34,33,88,S02,2025-11-15
241,Laptop Stand Model 7,Office,133,24,12,55,S02,2025-12-06
242,Standing Desk Model 7,Furniture,133,22,200,373,S03,2025-12-09
243,Gaming Chair Model 8,Furniture,119,21,159,234,S01,2025-12-03
244,Optical Mouse Model 2,Peripherals,105,23,22,55,S01,2025-12-13
245,Laptop Stand Model 5,Office,53,21,20,75,S01,2025-12-03
246,Gaming Chair Model 6,Furniture,105,24,147,263,S02,2025-11-26
247,Laptop Stand Model 3,Office,60,39,22,64,S03,2025-11-30
248,Bluetooth Speaker Model 3,Audio,79,34,55,76,S02,2025-12-01
249,Smart Watch Model 8,Electronics,86,37,135,234,S02,2025-12-07
250,Standing Desk Model 5,Furniture,131,33,198,359,S02,2025-11-27
251,Desk Lamp Model 8,Office,63,27,27,66,S02,2025-12-03
252,Mechanical Keyboard Model 1,Peripherals,156,32,68,100,S03,2025-11-18
253,Standing Desk Model 8,Furniture,156,29,197,368,S02,2025-11-29
254,Optical Mouse Model 5,Peripherals,136,24,22,16,S03,2025-11-17
255,Mechanical Keyboard Model 8,Peripherals,54,38,71,146,S01,2025-11-20
256,Mechanical Keyboard Model 6,Peripherals,145,33,65,112,S01,2025-12-19
257,Gaming Chair Model 9,Furniture,114,28,145,246,S02,2025-12-03
258,Gaming Chair Model 2,Furniture,109,22,144,278,S01,2025-12-10
259,Webcam Model 6,Electronics,61,32,30,71,S03,2025-11-22
260,Bluetooth Speaker Model 6,Audio,136,28,53,84,S03,2025-12-08
261,Wireless Earbuds Model 4,Audio,110,20,39,80,S02,2025-11-29
262,Wireless Earbuds Model 8,Audio,139,29,40,71,S01,2025-11-23
263,Smart Watch Model 1,Electronics,88,35,133,236,S01,2025-12-19
264,Laptop Stand Model 7,Office,108,31,27,51,S03,2025-11-24
265,Desk Lamp Model 2,Office,156,35,34,56,S02,2025-11-17
266,Gaming Chair Model 4,Furniture,106,34,147,253,S01,2025-12-08
267,Webcam Model 6,Electronics,57,32,38,67,S01,2025-12-14
268,Wireless Earbuds Model 4,Audio,132,40,39,46,S01,2025-12-06
269,Optical Mouse Model 3,Peripherals,150,38,8,14,S03,2025-11-28
270,Standing Desk Model 4,Furniture,154,27,200,379,S01,2025-11-15
271,Mechanical Keyboard Model 3,Peripherals,66,37,68,111,S01,2025-11-16
272,Laptop Stand Model 1,Office,95,27,28,45,S01,2025-11-26
273,Mechanical Keyboard Model 1,Peripherals,66,33,76,107,S03,2025-11-19
274,Bluetooth Speaker Model 8,Audio,149,31,51,97,S01,2025-12-13
275,Webcam Model 4,Electronics,128,21,46,74,S02,2025-11-16
276,Smart Watch Model 8,Electronics,158,32,143,273,S01,2025-12-16
277,Bluetooth Speaker Model 2,Audio,60,30,54,69,S01,2025-11-23
278,Mechanical Keyboard Model 9,Peripherals,141,30,72,138,S03,2025-12-03
279,Bluetooth Speaker Model 9,Audio,127,33,38,110,S03,2025-11-22
280,Webcam Model 4,Electronics,105,34,37,81,S02,2025-12-14
281,Desk Lamp Model 7,Office,143,23,25,57,S02,2025-12-01
282,Gaming Chair Model 3,Furniture,137,35,142,235,S01,2025-11-20
283,Desk Lamp Model 2,Office,145,31,19,65,S01,2025-12-20
284,Webcam Model 6,Electronics,135,23,43,77,S03,2025-12-12
285,Smart Watch Model 5,Electronics,126,29,141,236,S03,2025-12-17
286,Optical Mouse Model 3,Peripherals,134,35,9,16,S02,2025-12-20
287,Gaming Chair Model 2,Furniture,147,28,158,244,S02,2025-12-20
288,Standing Desk Model 9,Furniture,53,39,198,331,S01,2025-12-02
289,Mechanical Keyboard Model 6,Peripherals,94,20,65,109,S03,2025-12-10
290,Wireless Earbuds Model 3,Audio,144,40,20,50,S03,2025-12-18
291,Optical Mouse Model 7,Peripherals,103,34,12,20,S02,2025-12-04
292,Gaming Chair Model 2,Furniture,56,24,145,278,S03,2025-11-18
293,Wireless Earbuds Model 5,Audio,106,33,35,83,S02,2025-12-11
294,Mechanical Keyboard Model 4,Peripherals,146,36,63,122,S02,2025-11-22
295,Mechanical Keyboard Model 8,Peripherals,117,29,61,114,S02,2025-11-18
296,Smart Watch Model 4,Electronics,88,26,134,278,S02,2025-12-03
297,Gaming Chair Model 2,Furniture,50,35,153,241,S01,2025-12-09
298,Webcam Model 4,Electronics,114,37,41,59,S02,2025-11-17
299,Desk Lamp Model 1,Office,108,22,25,66,S02,2025-12-10
300,Desk Lamp Model 5,Office,64,32,15,50,S01,2025-12-14
301,Gaming Chair Model 2,Furniture,105,23,147,257,S03,2025-12-10
302,Webcam Model 2,Electronics,100,29,40,69,S02,2025-11-25
303,Wireless Earbuds Model 9,Audio,131,23,36,77,S01,2025-12-07
304,Gaming Chair Model 3,Furniture,80,23,144,246,S01,2025-11-26
305,Standing Desk Model 3,Furniture,147,40,192,341,S03,2025-12-16
306,Bluetooth Speaker Model 8,Audio,137,38,55,100,S03,2025-12-05
307,Gaming Chair Model 3,Furniture,106,22,155,258,S03,2025-12-04
308,Mechanical Keyboard Model 1,Peripherals,95,36,62,119,S02,2025-12-13
309,Smart Watch Model 1,Electronics,97,29,132,271,S01,2025-12-17
310,Desk Lamp Model 8,Office,124,37,16,58,S03,2025-11-27
311,Gaming Chair Model 8,Furniture,114,24,141,258,S01,2025-12-06
312,Wireless Earbuds Model 9,Audio,132,25,21,60,S03,2025-12-13
313,Bluetooth Speaker Model 9,Audio,116,39,40,83,S02,2025-12-03
314,Desk Lamp Model 7,Office,149,30,34,33,S03,2025-12-06
315,Wireless Earbuds Model 6,Audio,62,37,32,63,S02,2025-11-24
316,Gaming Chair Model 2,Furniture,124,24,151,249,S03,2025-12-10
317,Laptop Stand Model 2,Office,89,37,22,66,S02,2025-11-23
318,Webcam Model 2,Electronics,132,33,46,78,S01,2025-12-08
319,Mechanical Keyboard Model 3,Peripherals,77,30,75,112,S01,2025-11-23
320,Laptop Stand Model 2,Office,87,23,26,74,S03,2025-12-18
